iter	Logloss
0	0.5907983718
1	0.5253979774
2	0.4565478263
3	0.4009885422
4	0.3563049953
5	0.3197850244
6	0.2913373112
7	0.2646693004
8	0.2438133479
9	0.2264692356
10	0.2131741545
11	0.1981707552
12	0.1891288646
13	0.1806103745
14	0.1711677253
15	0.1636970179
16	0.158714919
17	0.1541061803
18	0.1505088389
19	0.1475939098
20	0.1451452962
21	0.14274347
22	0.1402822934
23	0.138173105
24	0.1363207054
25	0.1347018054
26	0.1327478891
27	0.131465105
28	0.1301177647
29	0.1290579576
30	0.1277662939
31	0.1270244285
32	0.1261343099
33	0.1253933683
34	0.1247841211
35	0.1238987606
36	0.123253139
37	0.1222901744
38	0.1215582343
39	0.1211747581
40	0.1204578935
41	0.1199327946
42	0.1196867975
43	0.1193650917
44	0.1190815655
45	0.1188890342
46	0.1184827064
47	0.1182778716
48	0.1180659378
49	0.1177299706
50	0.1174582577
51	0.1170948343
52	0.1169094611
53	0.1166529482
54	0.1165163731
55	0.1163272748
56	0.1161621913
57	0.1160440808
58	0.1159486616
59	0.1157591871
60	0.115608324
61	0.1152910299
62	0.1151908751
63	0.1150302203
64	0.1148891286
65	0.1148488734
66	0.1146328121
