iter	Passed	Remaining
0	85	85728
1	183	91759
2	210	69992
3	248	61857
4	261	51988
5	279	46224
6	292	41468
7	301	37367
8	312	34409
9	321	31848
10	334	30063
11	347	28620
12	361	27459
13	371	26166
14	382	25115
15	393	24204
16	402	23259
17	416	22702
18	429	22154
19	439	21532
20	452	21092
21	465	20671
22	484	20589
23	496	20183
24	511	19963
25	522	19578
26	534	19250
27	544	18890
28	598	20042
29	609	19719
30	617	19309
31	627	18994
32	637	18678
33	646	18370
34	653	18010
35	664	17785
36	675	17590
37	684	17322
38	694	17102
39	704	16906
40	714	16709
41	725	16542
42	731	16286
43	742	16125
44	751	15946
45	762	15821
46	771	15641
47	780	15488
48	788	15302
49	797	15158
50	807	15023
51	815	14861
52	825	14755
53	837	14666
54	845	14532
55	854	14411
56	862	14277
57	872	14175
58	879	14032
59	889	13933
60	896	13800
61	907	13722
62	914	13596
63	925	13542
64	931	13397
65	942	13336
66	951	13253
